year,y_1,y_n_real_obs,y_n_real_EH,term_prem,eh_method,state_var_y1_mean,state_var_y1_lag_coeff,state_var_max_abs_eig,infl_ar1_mu,infl_ar1_phi,eh_spread
1949,-0.008656086831278983,0.0012365650115791736,0.004917392493877062,-0.0036808274822978885,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.013573479325156046
1950,0.008370698909247958,0.004536895101946253,0.010818394535036514,-0.006281499433090261,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.002447695625788556
1951,-0.014287985434121922,0.0019871306131706776,0.0024715567125919726,-0.000484426099421295,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.016759542146713893
1952,-0.011896001937892756,0.0030183724635040148,0.0031889861449060724,-0.00017061368140205762,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.015084988082798829
1953,0.009667610127166767,0.007700375614145775,0.01100484624959968,-0.003304470635453905,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.001337236122432913
1954,0.0020565240556011423,0.004294456570319533,0.008079248331570702,-0.003784791761251169,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.00602272427596956
1955,0.007951308299700444,0.006509837899662394,0.008592552439044856,-0.0020827145393824617,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0006412441393444119
1956,0.017258603202984946,0.00862091108312383,0.01115864065898767,-0.00253772957586384,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0060999625439972765
1957,0.01356513894971837,0.012418141936726468,0.012107968233747001,0.0003101737029794667,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0014571707159713697
1958,0.0011006947568202655,0.008888836241450933,0.008502118020683463,0.0003867182207674697,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.007401423263863198
1959,0.017054502555032974,0.018575720235593812,0.014886744288621676,0.0036889759469721367,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.002167758266411298
1960,0.022362588566918456,0.0253016611154088,0.018789164355496137,0.006512496759912664,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0035734242114223193
1961,0.01055122863674757,0.017093862439163946,0.012231209642442037,0.004862652796721909,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0016799810056944663
1962,0.017855158333728947,0.019835758985576265,0.014415469180944631,0.005420289804631634,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0034396891527843157
1963,0.016372295231609456,0.01701460289866418,0.013621665288610155,0.0033929376100540268,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.002750629942999301
1964,0.02086494502318951,0.02008902121682453,0.015253960728016389,0.00483506048880814,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.00561098429517312
1965,0.026996549065538743,0.02070332362161932,0.016768241023803022,0.003935082597816299,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.010228308041735721
