year,theta,y_1,y_n_real_obs,y_n_real_EH,term_prem,y_n_real_theta,spr_theta,r_n_real_theta,duration_theta,xb_theta
1927,0.75,0.03319620395239105,0.013838544264353433,0.020111049327937985,-0.006272505063584552,0.01540667053024957,-0.017789533422141478,0.00909626149228035,9.339325307454612,-0.006686941392368431
1928,0.75,0.04134794495677187,0.014479678878577432,0.020225517565587763,-0.00574583868701033,0.015916138550330014,-0.025431806406441854,0.01115805097705394,9.31855157400878,-0.022038152975337108
1929,0.75,0.049994080271853356,0.01637623782514116,0.02087912237447305,-0.004502884549331891,0.017501958962474133,-0.03249212130937922,0.002724409664793287,9.254311177068391,-0.03862353529197858
1930,0.75,0.025512326132067744,0.012270971177319012,0.013524590669008801,-0.0012536194916897888,0.01258437605024146,-0.012927950081826284,0.058093218559076815,9.455613398860905,0.008099138287223459
1931,0.75,0.0367915906789361,0.01732133267130944,0.0207706633809069,-0.003449330709597461,0.018183665348708807,-0.018607925330227294,-0.03476104956597752,9.226890793676755,-0.060273375698045265
1932,0.75,0.058144206859451604,0.022619220918875242,0.03317920391347532,-0.010559982994600078,0.025259216667525262,-0.03288499019192634,-0.04002612265624972,8.949065126576798,-0.07681771333518582
1933,0.75,0.04371198248749594,0.01971791322667832,0.028314417804173535,-0.008596504577495216,0.021867039371052124,-0.02184494311644382,0.05222385491808543,9.080734334370819,-0.005920351941366177
1934,0.75,-0.005789159099856583,0.01051114949402521,0.007472252005866474,0.003038897488158736,0.009751425121985527,0.01554058422184211,0.1197700994154769,9.574428973066775,0.07605811692798095
1935,0.75,-0.011253323943276947,0.006833909772880755,0.005394892887802745,0.0014390168850780104,0.006474155551611252,0.017727479494888197,0.037852140278752805,9.714545369816122,0.04364129937860939
1936,0.75,-0.016836498639662148,0.004558220826300023,8.940730170581088e-05,0.004468813524594212,0.00344101744515147,0.020277516084813617,0.03290657519327318,9.846827838701907,0.04415989913655013
1937,0.75,-0.00971172824719689,0.005804408892496369,0.0009762991461380587,0.00482810974635831,0.004597381455906792,0.014309109703103683,-0.006789135876871702,9.796097191066655,0.010047362762790446
1938,0.75,-0.015064263766582504,0.0037599915174790326,0.0019891265399774333,0.0017708649775015992,0.0033172752731036328,0.018381539039686135,0.015857319854728717,9.852278484377715,0.025569048101925607
1939,0.75,0.003639916825013417,0.005385255953854275,0.00708278350323865,-0.0016975275493843747,0.005809637841200369,0.0021697210161869523,-0.0187458122637275,9.743310483806866,-0.003681548497144995
1940,0.75,-0.007300737158120591,0.002130141844677559,0.0023098767218390644,-0.0001797348771615053,0.0021750755639679356,0.009475812722088526,0.037587744303775664,9.902792301839234,0.033947827478762245
1941,0.75,-0.010363304419649241,-0.0008687831932387702,0.0014675370399877276,-0.002336320233226498,-0.0002847031349321456,0.010078601284717095,0.024073974428763707,10.012823199323895,0.0313747115868843
1942,0.75,-0.04336977796443498,-0.0014373772843126187,-0.006205406171008476,0.004768028886695857,-0.0026293845059865827,0.0407403934584484,0.02084749552112984,10.119313665698478,0.031210799940779084
1943,0.75,-0.03959234941788579,-0.0008196807332699028,-0.004897915512045649,0.004078234778775746,-0.0018392394279638392,0.03775310998992195,-0.009834965313883778,10.08324993068085,0.03353481265055121
1944,0.75,-0.01703438240889127,0.002917071479776205,0.0025270692064361692,0.0003900022733400359,0.0028195709114411964,0.019853953320332466,-0.04415637812041985,9.874244656109996,-0.004564028702534063
1945,0.75,-0.01424001540817395,0.0022512620620919015,0.0025443721528390735,-0.000293110090747172,0.0023245395847786947,0.016564554992952646,0.007212600016682943,9.896161494573446,0.02424698242557421
1946,0.75,-0.013944594758884276,0.000523457432449758,9.423655343754976e-05,0.0004292208790122083,0.000416152212696706,0.014360746971580981,0.01930186184102469,9.981297804654147,0.03354187724919864
1947,0.75,-0.06754998240280023,-0.008058327892328559,-0.016680308306599542,0.008621980414270983,-0.010213822995896304,0.057336159406903925,0.09588712521716111,10.474854627723806,0.10983171997604539
1948,0.75,-0.03236359019581071,-0.0009988092409240236,-0.0030173643761172665,0.002018555135193243,-0.0015034480247223343,0.03086014217108838,-0.0927433596007336,10.06797841204521,-0.025193377197933367
1949,0.75,-0.008656086831278983,0.0012365650115791736,0.004917392493877062,-0.0036808274822978885,0.0021567718821536457,0.010812858713432629,-0.03469424312361185,9.903604755339886,-0.002330652927801137
1950,0.75,0.008370698909247958,0.004536895101946253,0.010818394535036514,-0.006281499433090261,0.006107269960218818,-0.0022634289490291396,-0.03301690159166851,9.730411923152602,-0.024360814760389524
1951,0.75,-0.014287985434121922,0.0019871306131706776,0.0024715567125919726,-0.000484426099421295,0.0021082371380260014,0.016396222572147925,0.04102047379216958,9.905759543452204,0.032649774882921624
1952,0.75,-0.011896001937892756,0.0030183724635040148,0.0031889861449060724,-0.00017061368140205762,0.0030610258838545293,0.014957027821747286,-0.006377070328030265,9.863579418882782,0.007910915106091657
1953,0.75,0.009667610127166767,0.007700375614145775,0.01100484624959968,-0.003304470635453905,0.00852649327300925,-0.0011411168541575166,-0.04538257838123226,9.626461828269607,-0.03348657644333951
1954,0.75,0.0020565240556011423,0.004294456570319533,0.008079248331570702,-0.003784791761251169,0.0052406545106323255,0.003184130455031183,0.036871655930502435,9.768036133513858,0.02720404580333567
1955,0.75,0.007951308299700444,0.006509837899662394,0.008592552439044856,-0.0020827145393824617,0.00703051653450801,-0.0009207917651924344,-0.010452920388713913,9.690554529757659,-0.012509444444315055
1956,0.75,0.017258603202984946,0.00862091108312383,0.01115864065898767,-0.00253772957586384,0.009255343477089789,-0.008003259725895157,-0.012304463329272958,9.595453332424523,-0.0202557716289734
1957,0.75,0.01356513894971837,0.012418141936726468,0.012107968233747001,0.0003101737029794667,0.012340598510981602,-0.0012245404387367688,-0.017263822185355132,9.4657546964453,-0.03452242538834008
1958,0.75,0.0011006947568202655,0.008888836241450933,0.008502118020683463,0.0003867182207674697,0.008792156686259066,0.0076914619294388,0.042380836553689336,9.615142869868798,0.028815697603970965
1959,0.75,0.017054502555032974,0.018575720235593812,0.014886744288621676,0.0036889759469721367,0.017653476248850778,0.0005989736938178045,-0.06754937736103184,9.248206579142122,-0.0686500721178521
1960,0.75,0.022362588566918456,0.0253016611154088,0.018789164355496137,0.006512496759912664,0.023673536925430633,0.0013109483585121776,-0.032001227830549955,9.010268642985757,-0.04905573038558293
1961,0.75,0.01055122863674757,0.017093862439163946,0.012231209642442037,0.004862652796721909,0.01587819923998347,0.005326970603235899,0.0861162859486532,9.320096281853477,0.06375369738173474
1962,0.75,0.017855158333728947,0.019835758985576265,0.014415469180944631,0.005420289804631634,0.018480686534418356,0.0006255282006894097,-0.005774745622015159,9.214980121193758,-0.01632597425876273
1963,0.75,0.016372295231609456,0.01701460289866418,0.013621665288610155,0.0033929376100540268,0.016166368496150677,-0.00020592673545877932,0.03749276321290748,9.308372579609049,0.019637604879178535
