year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1949,0.0008309047030574911,0.09329853784677661,-2.327110448479578,0.01567647938500758,0.007160754517749644,0.022837233902757225,0.0010906978901828925,0.012444587741082761,0.03390396011481718,0.02145937237373442,-0.011066726212059955,0.0013778615290228058,0.00028716363883991326,2.31,20,shiller
1950,0.03672988858283996,0.16218636739604553,-2.374508773438054,0.013113639145383105,0.009821332137112778,0.022934971282495883,0.011555376984837324,0.012225062238372454,0.032307289391944445,0.02008222715357199,-0.009372318109448562,0.0028527441289238915,-0.008702632855913432,2.32,20,shiller
1951,-0.06463511372899453,0.27959134237478034,-2.476182020608157,0.02097840638519171,0.00439689994603653,0.02537530633122824,-0.031006668894483804,0.012442767163385162,0.038377142832242146,0.025934375668856986,-0.013001836501013907,-0.000559069337628745,0.03044759955685506,2.57,20,shiller
1952,-0.021417152582494055,0.16714117652373406,-2.5278910844022335,0.023618865598633996,0.0028283044162142994,0.026447170014848295,-0.0065026526614994536,0.013185397689071718,0.036763497508008405,0.023578099818936687,-0.01031632749316011,0.0028690701959116077,0.009371722857411061,2.68,20,shiller
1953,0.019852382803157133,0.10934394871475514,-2.5657777410259706,0.025472795973031023,0.0024341572799768535,0.027906953253007877,0.014195270305024613,0.01390184347756102,0.035598832042346866,0.021696988564785843,-0.007691878789338989,0.0062099646882220316,-0.007985305616802581,2.83,20,shiller
1954,0.01425772515289102,0.00536830954954421,-2.485127504975017,0.017839918128331002,0.006657553472056436,0.024497471600387438,0.010312119182779887,0.01187142688734258,0.0327099608551479,0.02083853396780532,-0.008212489254760463,0.003658937632582118,-0.006653181550197769,2.48,20,shiller
1955,0.025302639329920603,0.36243494115127484,-2.7720123726178567,0.017938145131012995,0.007827062755013416,0.02576520788602641,0.0010510141493960661,0.011476036087518928,0.033434877621552964,0.021958841534034036,-0.007669669735526553,0.0038063663519923747,0.0027553522025963086,2.61,20,shiller
1956,0.014199823020405837,0.2359634454177444,-2.906495807548065,0.03159556158975056,-0.0030081047378380105,0.02858745685191255,0.012059490634683128,0.01395020643919584,0.03621505919928501,0.022264852760089174,-0.007627602347372461,0.006322604091823378,-0.00573688654285975,2.9,20,shiller
1957,0.0021816763834571554,0.03562904301764726,-2.8164728284191156,0.037873652428081515,-0.00385877384080386,0.034014878587277655,0.01609287180267372,0.015016097278603095,0.038632652324671,0.023616555046067907,-0.004617773737393346,0.010398323541209748,-0.005694548261463973,3.46,20,shiller
1958,0.0022827073253789826,-0.09587405158950779,-2.6238299472877906,0.025082780367463156,0.0053494267527388235,0.03043220712020198,0.010762646280962573,0.012104391939739138,0.03470116948368929,0.022596777543950147,-0.004268962363487307,0.00783542957625183,-0.0029272167047107427,3.09,20,shiller
1959,0.011193668206796063,0.3093376027803918,-2.889278902224295,0.03671758293516277,0.002695419421672264,0.039413002356835036,0.004856064927687075,0.014857573985145287,0.040873990415962236,0.02601641643081695,-0.0014609880591271995,0.013396585926018088,0.008540520998331013,4.02,20,shiller
1960,0.026425896898615048,0.038750741579881655,-2.908990950698765,0.04190940307720962,0.0042105325363435,0.04611993561355312,0.020643030254005774,0.014989613660090337,0.04116651688342625,0.026176903223335914,0.00495341873012687,0.019943032390217205,-0.0006999978637885693,4.72,20,shiller
1961,0.02498852558887244,0.02006249779428681,-2.916170370376293,0.028684633859908954,0.008996433107779537,0.03768106696768849,0.013587915543328208,0.01151925075795494,0.03553160738302742,0.024012356625072482,0.002149459584661069,0.013668710342616009,8.079479928780123e-05,3.84,20,shiller
1962,0.021995645709112464,0.14714121188703141,-3.0539036014461907,0.03333805961051037,0.006651588605648101,0.03998964821615847,0.010469102778798593,0.012295033386078312,0.0374304941526254,0.025135460766547088,0.0025591540635330687,0.01485418744961138,0.004385084670812788,4.08,20,shiller
1963,0.020092832860489865,-0.05870412897846332,-2.9579905142583103,0.0344014267173324,0.0031833336099388113,0.03758476032727121,0.020061703195216156,0.01266698932382524,0.03630756185705815,0.023640572533232908,0.0012771984702130632,0.013944187794038302,-0.0061175154011778535,3.83,20,shiller
1964,0.018087851225808613,0.1591033929391133,-3.0739525306642927,0.04008572353928564,0.0007682704689804115,0.04085399400826605,0.014676261025574984,0.014165249966454348,0.039505677790010706,0.025340427823556357,0.0013483162182553465,0.015513566184709695,0.0008373051591347106,4.17,20,shiller
